,current_close,prev_expiry_close,prev_expiry_high,prev_expiry_low,current_oi,prev_expiry_oi,current_basis,prev_expiry_basis,price_change,oi_pct_change,basis_change,expiry_signal
LTIM,6179.6,6132.0,6132.0,5348.35,2885550.0,3492000.0,0.5,0.46,0.78,-17.37,0.04,price above high
LTTS,5735.7,5810.35,5810.35,4760.45,1138000.0,1417000.0,-0.24,-2.45,-1.28,-19.69,2.21,price below close
LUPIN,2245.75,2193.75,2193.75,1800.35,12603375.0,13166925.0,0.69,0.49,2.37,-4.28,0.2,price above high
M&M,2785.45,2757.6,2952.5,2647.25,15108800.0,14989800.0,0.41,0.77,1.01,0.79,-0.35,price above close
M&MFIN,322.1,313.4,320.1,286.55,35906000.0,39788000.0,-0.17,0.31,2.78,-9.76,-0.48,price above high
MANAPPURAM,213.73,216.53,217.48,196.66,60861000.0,68772000.0,0.69,1.28,-1.29,-11.5,-0.59,price below close
MARICO,652.85,660.75,685.85,628.2,14834400.0,18486000.0,0.17,-1.9,-1.2,-19.75,2.06,price below close
MARUTI,12438.75,12453.75,13277.55,12166.6,3448150.0,4263150.0,0.2,0.1,-0.12,-19.12,0.1,price below close
MCX,5173.1,5004.7,5004.7,4149.95,2051400.0,2382400.0,0.21,0.3,3.36,-13.89,-0.09,price above high
METROPOLIS,2120.75,2078.9,2136.7,1983.0,1525600.0,1467600.0,0.51,0.68,2.01,3.95,-0.18,price above close
MFSL,1118.2,1037.9,1121.4,994.75,5269600.0,5603200.0,0.43,0.62,7.74,-5.95,-0.19,price above close
MGL,1812.45,1778.35,1883.5,1736.4,1625600.0,1731600.0,0.4,0.67,1.92,-6.12,-0.27,price above close
MOTHERSON,194.3,194.68,199.5,175.1,110142300.0,113649700.0,0.67,0.74,-0.2,-3.09,-0.07,price below close
MPHASIS,3121.0,3103.5,3103.5,2652.75,3732575.0,5349300.0,0.67,0.64,0.56,-30.22,0.03,price above high
MRF,134995.9,134421.35,142832.0,134421.35,72675.0,70445.0,0.71,0.74,0.43,3.17,-0.03,price above close
MUTHOOTFIN,1970.7,1973.7,1983.85,1742.45,3808750.0,4078800.0,0.35,0.56,-0.15,-6.62,-0.21,price below close
NATIONALUM,177.48,182.73,195.3,165.69,78915000.0,77013750.0,-0.51,-0.45,-2.87,2.47,-0.06,price below close
NAUKRI,7583.0,7682.9,7682.9,6836.5,1519800.0,2172450.0,0.3,0.71,-1.3,-30.04,-0.41,price below close
NAVINFLUOR,3312.3,3279.35,3824.9,3249.25,2557275.0,2604000.0,0.58,0.8,1.0,-1.79,-0.23,price above close
NESTLEIND,2523.95,2504.55,2554.85,2470.9,7219400.0,6987800.0,0.66,0.76,0.77,3.31,-0.11,price above close
NMDC,216.29,223.92,244.32,211.2,101619000.0,100773000.0,0.06,0.04,-3.41,0.84,0.02,price below close
NTPC,412.3,409.9,421.55,392.15,96450000.0,100551000.0,0.67,0.8,0.59,-4.08,-0.13,price above close
